  ID,Schenk_Jackson_2002,Reference,location,Latitude,Longitude,Elevation,MaxDiameter,Measurement,Totmass,Sampdepth,Sampmax,Texture,Depth_org_horizon,Broadleaved_trees,Needleleaved_trees,Shrubs,Semi_shrubs,Grasses,Forbs,Succulents,Tree_phenology,Anthropogenic,Wetland,Vegetation,UMD_cover,PET,MAP,Rainfall_season,D50,D95,D50_extrapolated,D95_extrapolated
JJS,NO,Jackson et al. 2002,"New Mexico, USA",32.5,-106.8,-999,Total,mass,4.74,10.06,yes,medium,0,0,0,1,0,0,0,0,-999,N,N,open shrubland,9,1420,264,summer maximum,0.02,5.41,0.02,5.41
JRG,NO,Jackson et al. 2002,"Texas, USA",31.5,-96.9,-999,Total,mass,5.32,10.06,no,fine,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1360,920,"non-tropical,",0.18,0.93,0.18,0.93
JRS,NO,Jackson et al. 2002,"Texas, USA",31.5,-96.9,-999,Total,mass,5.65,10.06,yes,fine,0,0,0,1,0,0,0,0,-999,N,N,open shrubland,7,1360,920,"non-tropical,",0.03,2.81,0.03,2.81
JSG,NO,Jackson et al. 2002,"New Mexico, USA",34.1,-106.9,-999,Total,mass,1.65,9.14,yes,medium,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1600,242,summer maximum,0.2,0.69,0.2,0.69
JSS,NO,Jackson et al. 2002,"New Mexico, USA",34.1,-106.9,-999,Total,mass,0.41,9.14,yes,medium,0,0,0,1,0,0,0,0,-999,N,N,open shrubland,9,1600,242,summer maximum,0.42,2,0.42,1.99
JVG,NO,Jackson et al. 2002,"Texas, USA",34.2,-99.3,-999,Total,mass,1.83,10.06,no,fine,0,0,0,0,0,1,0,0,-999,N,N,Grassland,10,1450,653,summer maximum,0.1,0.61,0.1,0.61
JVS,NO,Jackson et al. 2002,"Texas, USA",34.2,-99.3,-999,Total,mass,0.97,10.06,no,fine,0,0,0,1,0,0,0,0,-999,N,N,open shrubland,7,1450,653,summer maximum,0.67,5.75,0.67,5.99
RC07,YES,Vance & Nadkarni 1992,"Monteverde, Costa Rica",10.3,-84.8,1550,Total,mass,4.01,1.8,no,medium,15,1,0,0,0,0,1,0,evergreen,N,N,EBL forest / tropica,2,717,2000,"tropical, seas",0.18,0.33,0.18,0.33
RC21a,YES,Odum 1970,"Serranía del Darien, Panama",9.08,-78.03,275,Total,number,-999,0.46,no,fine,0,1,0,1,0,0,1,0,evergreen,N,N,EBL forest / tropica,2,576,2500,"tropical, seas",0.02,0.32,0.03,0.58
RC21b,YES,Odum 1970,"Cerro Jefe, Panama",9.2,-79.38,840,Total,number,-999,0.58,no,fine,10,1,0,1,0,0,1,0,evergreen,N,N,EBL forest / tropica,2,672,4000,"tropical, seas",0.05,0.28,0.05,0.33
RC21c,YES,Odum 1970,"Cerro Jefe, Panama",9.2,-79.38,1050,Total,number,-999,0.33,no,fine,5,1,0,1,0,0,1,0,evergreen,N,N,EBL forest / tropica,2,672,4000,"tropical, seas",0.02,0.25,0.03,0.46
RC21d,YES,Odum 1970,"El Yunque, Puerto Rico",18.3,-66.78,960,Total,number,-999,0.43,no,fine,0,1,0,1,0,0,1,0,evergreen,N,N,EBL forest / tropica,2,783,4000,"non-tropical,",0.05,0.32,0.06,0.53
