  ID,Schenk_Jackson_2002,Reference,location,Latitude,Longitude,Elevation,MaxDiameter,Measurement,Totmass,Sampdepth,Sampmax,Texture,Depth_org_horizon,Broadleaved_trees,Needleleaved_trees,Shrubs,Semi_shrubs,Grasses,Forbs,Succulents,Tree_phenology,Anthropogenic,Wetland,Vegetation,UMD_cover,PET,MAP,Rainfall_season,D50,D95,D50_extrapolated,D95_extrapolated
D04,YES,Fernández & Paruelo 1988,"Chubut, Argentina",-45.42,-70.33,1350,Total,number,-999,0.5,no,medium,0,0,0,1,0,0,0,0,-999,N,N,open shrubland,9,903,142,winter maximum,0.24,0.47,0.39,0.91
D05,YES,Jordan & Nobel 1984,"California, USA",33.63,-116.4,850,Total,length,-999,0.16,no,medium,0,0,0,0,0,0,0,1,-999,N,N,open shrubland,9,1585,150,winter maximum,0.09,0.14,0.09,0.19
D06,YES,Moorhead et al. 1989,"New Mexico, USA",32.5,-106.8,-999,Fine,mass,0.47,0.7,no,coarse,0,0,0,1,1,0,0,1,-999,N,N,open shrubland,9,1631,215,summer maximum,0.25,0.64,0.38,1.22
D07,YES,Nobel 1989,"California, USA",33.63,-116.4,850,Total,length,-999,0.3,no,medium,0,0,0,0,0,0,0,1,-999,N,N,open shrubland,9,1585,150,winter maximum,0.09,0.2,0.09,0.21
D08a,NO,Freckman & Virginia 1989,"New Mexico, USA",32.5,-106.75,-999,Total,mass,-999,13,no,-999,0,0,0,1,0,0,0,0,-999,N,Y,open shrubland,9,1631,211,summer maximum,1.36,9.82,1.36,9.82
D08b,NO,Freckman & Virginia 1989,"New Mexico, USA",32.5,-106.75,-999,Total,mass,-999,7,yes,-999,0,0,0,1,0,0,0,0,-999,N,Y,open shrubland,9,1631,211,summer maximum,0.38,4.26,0.4,4.85
D08c,YES,Freckman & Virginia 1989,"New Mexico, USA",32.5,-106.75,-999,Total,mass,-999,6,yes,coarse,0,0,0,1,0,0,0,0,-999,N,N,open shrubland,9,1631,211,summer maximum,0.51,4.26,0.51,4.26
D08d,YES,Freckman & Virginia 1989,"New Mexico, USA",32.5,-106.75,-999,Total,mass,-999,4,yes,-999,0,0,0,1,0,1,0,0,-999,N,N,open shrubland,9,1631,211,summer maximum,0.46,3.03,0.46,3.03
D08e,YES,Freckman & Virginia 1989,"New Mexico, USA",32.5,-106.75,-999,Total,mass,-999,4,no,-999,0,0,0,1,0,0,0,0,-999,N,N,open shrubland,9,1631,211,summer maximum,0.43,2.2,0.43,2.2
D09,YES,Sturges 1980,"Wyoming, USA",41.33,-106.8,2225,Total,mass,0.9,1.22,no,coarse,0,0,0,1,0,1,0,0,-999,N,N,open shrubland,9,1160,500,"non-tropical,",0.21,0.82,0.22,1.08
D10,YES,Briones et al. 1996,"Coahuila, Mexico",26,-103,1100,Total,number,-999,0.75,no,fine,0,0,0,1,0,1,0,1,-999,N,N,open shrubland,9,1526,264,"tropical, seas",0.16,0.52,0.17,0.65
D11,YES,Daddy et al. 1988,"New Mexico, USA",36.8,-107.6,1900,Total,mass,-999,1,no,medium,0,0,0,1,0,1,0,0,-999,N,N,open shrubland,9,1299,200,summer maximum,0.45,0.66,0.45,0.67
D12a,YES,Schulze et al. 1996,"Patagonia, Argentina",-45.45,-69.83,700,Total,mass,0.33,3,no,coarse,0,0,0,1,1,1,0,0,-999,N,N,open shrubland,9,903,160,winter maximum,0.07,0.36,0.07,0.36
D12b,YES,Schulze et al. 1996,"Patagonia, Argentina",-45.4,-70.3,540,Total,mass,0.77,3,no,fine,0,0,0,0,1,1,0,0,-999,N,N,open shrubland,9,903,125,winter maximum,0.19,1.84,0.19,1.84
D13,YES,Zverev & Seiidova 1990,"Karakum, Turkmenistan",38.48,57.72,90,Total,mass,-999,4,no,coarse,0,0,0,1,1,0,0,0,-999,N,N,open shrubland,9,1315,148,winter maximum,0.3,2.09,0.3,2.09
D14,YES,Manning & Barbour 1988,"California, USA",37.2,-118.37,~1300,Total,mass,-999,1.03,no,medium,0,0,0,1,1,0,0,0,-999,N,N,open shrubland,9,1406,144,winter maximum,0.18,0.83,0.22,1.46
D15a,YES,Sveshnikova 1968,"Pamirs, Tajikistan",38.15,73.93,3864,Total,mass,0.07,0.5,no,medium,0,0,0,0,1,1,0,0,-999,N,N,open shrubland,9,401,120,winter maximum,0.21,0.45,0.26,0.8
D15b,YES,Sveshnikova 1968,"Pamirs, Tajikistan",38.15,73.93,-999,Total,mass,0.11,0.5,no,medium,0,0,0,0,1,0,0,0,-999,N,N,open shrubland,9,401,120,winter maximum,0.16,0.45,0.26,0.88
D15c,YES,Sveshnikova 1968,"Pamirs, Tajikistan",38.15,73.93,3864,Total,mass,0.25,0.4,no,medium,0,0,0,0,1,1,0,0,-999,N,N,open shrubland,9,401,120,winter maximum,0.15,0.37,0.23,0.7
D15d,YES,Sveshnikova 1968,"Pamirs, Tajikistan",38.15,73.93,3864,Total,mass,0.21,0.4,no,medium,0,0,0,0,1,1,0,0,-999,N,N,open shrubland,9,401,120,winter maximum,0.05,0.34,0.09,0.65
