Precipitation,Net_Radiation,Soil_Moisture,Evapotranspiration,Runoff,Time,Drainage,Infiltration
0.9628566,0.781002883338139,76.00717069404219,0.27646119764181915,0.0,2008-01-01,7.029224708315989,0.9628566
0.8618938,0.8063546662874854,69.84174619895956,0.2742225297002566,0.0,2008-01-02,6.753095765382371,0.8618938
1.5207235,0.831706449236832,64.61792900695241,0.27112986622328217,0.0,2008-01-03,6.473410825783864,1.5207235
0.9196785,0.8570582321861784,59.04224800700625,0.26874264934651393,0.0,2008-01-04,6.226616850599645,0.9196785
1.5907964,0.8824100151355249,54.416639301671495,0.2644853474579951,0.0,2008-01-05,5.95191975787676,1.5907964
3.3668962,0.9077617980848712,51.80831046641881,0.26120862111780013,0.0,2008-01-06,5.7140164141348855,3.3668962
0.735317,0.9331135810342178,46.70624678250849,0.261989551455909,0.0,2008-01-07,5.575391132454412,0.735317
1.0096818,0.9584653639835642,42.16666906999505,0.25551338434436033,0.0,2008-01-08,5.293746128169077,1.0096818
4.636291,0.9838171469329108,41.523848964058075,0.24920042661105024,0.0,2008-01-09,5.029910679325929,4.636291
1.0419745,0.9534321278938063,37.33474386883326,0.23965601287530422,0.0,2008-01-10,4.991423582349513,1.0419745
5.3702426,0.9230471088547016,37.75202942489419,0.22000380929793875,0.0,2008-01-11,4.7329532346411325,5.3702426
2.068413,0.8926620898155971,34.84716549849089,0.21394738801908467,0.0,2008-01-12,4.759329538384216,2.068413
5.7792645,0.8622770707764926,35.855315852311236,0.19855476448820156,0.0,2008-01-13,4.5725593816914545,5.7792645
1.4592053,0.831892051737388,32.48198060128558,0.19430925974804816,0.0,2008-01-14,4.638231291277608,1.4592053
0.13518779,0.8015070326982836,28.024324353562335,0.1781879513704965,0.0,2008-01-15,4.414656086352746,0.13518779
6.339702,0.771122013659179,30.104230380076984,0.15923569321420186,0.0,2008-01-16,4.100560280271148,6.339702
10.1218815,0.7407369946200745,35.81757151067756,0.1585358719846071,0.0,2008-01-17,4.250004497414819,10.1218815
0.8592571,0.7714401525807005,31.86094492386128,0.18009433586357224,0.0,2008-01-18,4.635789350952709,0.8592571
5.491111,0.8021433105413268,32.803189875299076,0.17661640400658218,0.0,2008-01-19,4.372249644555622,5.491111
0.1975264,0.832846468501953,28.378217514658246,0.1860684472943607,0.0,2008-01-20,4.436430313346468,0.1975264
0.3365398,0.8635496264625792,24.40894290407423,0.17944427343018282,0.0,2008-01-21,4.126370137153834,0.3365398
0.0795046,0.8942527844232054,20.48918171207741,0.17233938266457988,0.0,2008-01-22,3.826926409332238,0.0795046
0.32863602,0.9249559423838316,17.148290024370052,0.1633176416607685,0.0,2008-01-23,3.5062100660465916,0.32863602
8.651026,0.9556591003444578,22.43730287268119,0.15437008946668987,0.0,2008-01-24,3.207643062222172,8.651026
2.5462487,0.9863622583050837,21.132188058274473,0.18225167043020496,0.0,2008-01-25,3.669111843976511,2.5462487
0.033621594,0.9947364157177474,17.426634016798666,0.17837336141386886,0.0,2008-01-26,3.56080227406194,0.033621594
0.4174832,1.0031105731304104,14.447201573267096,0.1633447984627316,0.0,2008-01-27,3.233570845068838,0.4174832
0.70668334,1.0114847305430736,12.059714863601975,0.1499688092672664,0.0,2008-01-28,2.9442012403978532,0.70668334
2.5858686,1.019858887955737,11.817481477426696,0.13815237360607877,0.0,2008-01-29,2.6899496125691993,2.5858686
0.021800078,1.0282330453684,9.038603571615301,0.13788079167376974,0.0,2008-01-30,2.662797192137625,0.021800078
1.4552962,1.0366072027810633,8.043564694114743,0.12156670280779389,0.0,2008-01-31,2.3287683746927645,1.4552962
7.8857245,1.0449813601937266,13.616835137604074,0.11560658422934375,0.0,2008-02-01,2.1968474722813247,7.8857245
3.1013389,1.0533555176063898,13.708212964179875,0.15162220573155888,0.0,2008-02-02,2.8583388676926402,3.1013389
0.0042632776,1.1079785233483779,10.68454376869495,0.1600189844127308,0.0,2008-02-03,2.8679134886721958,0.0042632776
0.47014865,1.1626015290903657,8.474513528505911,0.1482376860500141,0.0,2008-02-04,2.5319412041390237,0.47014865
0.42297226,1.217224534832354,6.504333841942052,0.13822220994155193,0.0,2008-02-05,2.254929736622307,0.42297226
2.4889562,1.2718475405743417,6.891262153490465,0.12652787448924052,0.0,2008-02-06,1.9755000139623464,2.4889562
1.3929186,1.32647054631633,6.114940165897979,0.13583032596443015,0.0,2008-02-07,2.033410261628056,1.3929186
0.0045946497,1.3810935520583179,4.070860943557613,0.13321985287446886,0.0,2008-02-08,1.9154540191658966,0.0045946497
1.6400768,1.435716557800306,4.035086868122816,0.1129956146590052,0.0,2008-02-09,1.5628552607757915,1.6400768
0.4751672,1.490339563542294,2.837502917445012,0.11677810435801327,0.0,2008-02-10,1.5559730463197907,0.4751672
1.6653345e-13,1.5176641397661692,1.4329808152911196,0.09972259630382795,0.0,2008-02-11,1.304799505850231,1.6653345e-13
0.07741443,1.5449887159900446,0.5110042676748673,0.07214317407360075,0.0,2008-02-12,0.9272478035426516,0.07741443
0.18774977,1.5723132922139198,0.10119391347561235,0.0438430840018989,0.0,2008-02-13,0.553717040197356,0.18774977
0.019777412,1.5996378684377952,0.0,0.019849456447180888,0.0,2008-02-14,0.2464068750773148,0.019777412
1.6653345e-13,1.6269624446616706,1.6653345e-13,0.0,0.0,2008-02-15,0.0,1.6653345e-13
0.85309464,1.6542870208855458,0.8530942975651387,2.6333667525733117e-08,0.0,2008-02-16,3.1610136032608274e-07,0.85309464
1.1804688,1.6816115971094212,1.25753533637232,0.06058623420470537,0.0,2008-02-17,0.7154415269881133,1.1804688
