Precipitation,Net_Radiation,Soil_Moisture,Evapotranspiration,Runoff,Time,Drainage,Infiltration
0.008254657,2.25304177513829,212.66700693379772,0.7975369115533771,0.0,2008-01-01,8.153710811648889,0.008254657
0.0025012603,2.247402710050726,203.90268798034435,0.7793236046686945,0.0,2008-01-02,7.987496609084683,0.0025012603
0.01323297,2.241763644963161,195.33356275794742,0.7611814015231032,0.0,2008-01-03,7.82117679087382,0.01323297
0.0008872959,2.2361245798755967,186.93624073845683,0.7431411362438965,0.0,2008-01-04,7.65506817914669,0.0008872959
12.935702,2.2304855147880325,190.12236576377708,0.7251586479961871,1.5357019999999988,2008-01-05,7.488716326683569,11.4
15.033921,2.224846449700468,193.24063713790315,0.7294634207097731,3.633920999999999,2008-01-06,7.552265205164152,11.4
14.686386,2.2192073846129032,196.29313278164997,0.7335572102998362,3.2863860000000003,2008-01-07,7.613947145953335,11.4
0.005592769,2.2135683195253386,187.88742814769012,0.7374496174942625,0.0,2008-01-08,7.67384778546558,0.005592769
2.8045404,2.2079292544377744,182.46457471918154,0.7196492641066217,0.0,2008-01-09,7.507744564401951,2.8045404
0.5808271,2.264265036341676,174.919512748296,0.7272829578562345,0.0,2008-01-10,7.398606113029295,0.5808271
0.021519527,2.3206008182455773,166.96720599862505,0.7298043396190779,0.0,2008-01-11,7.244021937051875,0.021519527
3.7316442,2.3769366001494787,162.8910783121822,0.7303315440883058,0.0,2008-01-12,7.077440342354538,3.7316442
0.0037378639,2.43327238205338,155.16584073275178,0.7384587604481924,0.0,2008-01-13,6.990516682882221,0.0037378639
1.8539165,2.4896081639572816,149.45959762175852,0.7374217280150686,0.0,2008-01-14,6.822737882978176,1.8539165
0.3476186,2.545943945861183,142.3709946722332,0.7401122846964046,0.0,2008-01-15,6.696109264828909,0.3476186
4.4790783,2.602279727765085,139.57635295244108,0.7383318598072733,0.0,2008-01-16,6.5353881599848345,4.4790783
2.8413625,2.658615509668986,135.1999120097727,0.7468756973035424,0.0,2008-01-17,6.470927745364827,2.8413625
5.7612467,2.745792919282091,133.83331077616816,0.7591766747836162,0.0,2008-01-18,6.3686712588209335,5.7612467
1.6157299,2.8329703288951964,128.3333270837445,0.7793113614371814,0.0,2008-01-19,6.33640223098648,1.6157299
0.025032964,2.9201477385083017,121.3669098280063,0.7866135478246512,0.0,2008-01-20,6.204836671913561,0.025032964
1.277796,3.0073251481214065,115.82282725692248,0.7878025897589281,0.0,2008-01-21,6.034075981324887,1.277796
12.311689,3.0945025577345113,120.5362734125328,0.7919081233071421,0.9116889999999991,2008-01-22,5.894645721082544,11.4
-1.6653345e-13,3.1816799673476166,113.69226178890177,0.8306197335443718,0.0,2008-01-23,6.013391890086646,0.0
0.4200072,3.268857376960722,107.44329379397453,0.8287972407317858,0.0,2008-01-24,5.840177954195449,0.4200072
1.164959,3.356034786573827,102.10365682586153,0.8271856308031883,0.0,2008-01-25,5.677410337309817,1.164959
0.0017745917,3.414372484660938,95.75050833280449,0.8203863337941872,0.0,2008-01-26,5.534536750962854,0.0017745917
-1.6653345e-13,3.4727101827480484,89.5828960736132,0.8080271539950482,0.0,2008-01-27,5.359585105196236,0.0
0.0026618876,3.53104788083516,83.60676061559867,0.7946996592197261,0.0,2008-01-28,5.184097686394804,0.0026618876
0.007985663,3.589385578922271,77.82613144934504,0.7804187283926071,0.0,2008-01-29,5.008196100861028,0.007985663
2.4246197,3.6477232770093817,74.65359708206466,0.7651938610283091,0.0,2008-01-30,4.831960206252067,2.4246197
0.78525454,3.7060609750964923,69.94498111923691,0.7614209125395026,0.0,2008-01-31,4.7324495902882475,0.78525454
14.824511,3.7643986731836034,76.01558783879749,0.748618855107936,3.424510999999999,2008-02-01,4.5807744253314935,11.4
3.9247558,3.822736371270714,74.37239520249828,0.7925242298397154,0.0,2008-02-02,4.77542420645949,3.9247558
1.6653345e-13,3.944054071650139,68.8400773057678,0.808789706833865,0.0,2008-02-03,4.723528189896773,1.6653345e-13
3.0322053,4.065371772029563,66.52577112923966,0.8020617637763001,0.0,2008-02-04,4.544449712751846,3.0322053
2.1969588,4.186689472408988,63.44332870274603,0.811993551032173,0.0,2008-02-05,4.467407675461453,2.1969588
9.4222145,4.308007172788413,67.68692437377653,0.8159363272483557,0.0,2008-02-06,4.362682501721138,9.4222145
0.2489317,4.429324873167837,62.56311314955199,0.8665164194721549,0.0,2008-02-07,4.506226504752392,0.2489317
1.6653345e-13,4.550642573547261,57.37490876288464,0.8558916157718637,0.0,2008-02-08,4.332312770895656,1.6653345e-13
1.6653345e-13,4.671960273926686,52.384630820747596,0.841486235041585,0.0,2008-02-09,4.14879170709562,1.6653345e-13
1.6653345e-13,4.793277974306111,47.595428567852835,0.8249382296209595,0.0,2008-02-10,3.9642640232739645,1.6653345e-13
1.6653345e-13,4.9181194989403245,43.00991632885502,0.8068049772011836,0.0,2008-02-11,3.7787072617967974,1.6653345e-13
1.6653345e-13,5.042961023574538,38.63142117244908,0.7864240409273932,0.0,2008-02-12,3.5920711154787157,1.6653345e-13
1.6653345e-13,5.167802548208752,34.463325586854545,0.7637709313152785,0.0,2008-02-13,3.4043246542794248,1.6653345e-13
1.6653345e-13,5.292644072842966,30.50907524335879,0.7388191630698234,0.0,2008-02-14,3.215431180426097,1.6653345e-13
0.007897362,5.417485597477179,26.780086182824807,0.7115397361180896,0.0,2008-02-15,3.025346686415895,0.007897362
1.6653345e-13,5.542327122111392,23.263649462057252,0.6820010000558472,0.0,2008-02-16,2.834435720711874,1.6653345e-13
