Precipitation,Net_Radiation,Soil_Moisture,Evapotranspiration,Runoff,Time,Drainage,Infiltration
0.00594767,6.707819250129317,96.61024851739663,2.3744492920811746,0.0,2008-01-01,5.601249860522203,0.00594767
12.292146,6.680556620898226,93.27614393021854,2.272906014897626,7.969751482603371,2008-01-02,5.383593089677096,4.32239451739663
12.748878,6.653293991667136,87.20705700407981,2.2242276498398965,11.30385606978146,2008-01-03,5.28988120651736,1.4450219302185392
0.7674296,6.626031362436045,80.71775733793615,2.1418375662907803,0.0,2008-01-04,5.114891699852886,0.7674296
0.7709782,6.598768733204955,74.5156992779953,2.0521291076587778,0.0,2008-01-05,4.920907152282071,0.7709782
0.93650115,6.5715061039738645,68.76055526994729,1.9635684049275015,0.0,2008-01-06,4.728076753120511,0.93650115
0.008756493,6.544243474742775,62.34909503057572,1.8783925855133723,0.0,2008-01-07,4.541824146858197,0.008756493
0.007600203,6.516980845511683,56.25057400326873,1.7812248721068622,0.0,2008-01-08,4.324896358200126,0.007600203
0.042939276,6.4897182162805915,50.5007801420522,1.6847929963453674,0.0,2008-01-09,4.107940140871166,0.042939276
0.062772095,6.6202371532322735,45.042751865147515,1.628470215993492,0.0,2008-01-10,3.892330155911194,0.062772095
2.992702,6.7507560901839545,42.791199745047955,1.5682745826776991,0.0,2008-01-11,3.675979537421863,2.992702
-1.6653345e-13,6.881275027135637,37.6501447003417,1.5581288769609032,0.0,2008-01-12,3.582926167745351,0.0
0.0137068415,7.011793964087319,32.81378443660083,1.489257171593554,0.0,2008-01-13,3.360809933647321,0.0137068415
7.0933633,7.142312901039,35.3534122997356,1.4161989301484927,0.0,2008-01-14,3.1375365067167342,7.0933633
0.036175013,7.272831837990683,30.636054577479452,1.4968436665975098,0.0,2008-01-15,3.2566890686586403,0.036175013
1.228724,7.403350774942363,27.414732036897455,1.4184106169849973,0.0,2008-01-16,3.0316359235970003,1.228724
0.021637067,7.533869711894045,23.203120825102214,1.3654233868136472,0.0,2008-01-17,2.867824891981593,0.021637067
0.041797493,7.605994555528967,19.338363512394114,1.268196178165084,0.0,2008-01-18,2.6383586275430155,0.041797493
-1.6653345e-13,7.678119399163887,15.760980438434638,1.1687508783517215,0.0,2008-01-19,2.4086321956077548,0.0
-1.6653345e-13,7.750244242798811,12.521480470256659,1.0650358660299604,0.0,2008-01-20,2.1744641021480193,0.0
-1.6653345e-13,7.822369086433731,9.625197992220427,0.958127649061777,0.0,2008-01-21,1.9381548289744546,0.0
-1.6653345e-13,7.894493930068653,7.078129734536621,0.847786233514148,0.0,2008-01-22,1.6992820241696573,0.0
-1.6653345e-13,7.966618773703575,4.887274599067371,0.733652706030915,0.0,2008-01-23,1.4572024294383352,0.0
-1.6653345e-13,8.038743617338497,3.0612676055306576,0.6151468117980412,0.0,2008-01-24,1.2108601817386726,0.0
-1.6653345e-13,8.110868460973418,1.611726920507464,0.4912190888670822,0.0,2008-01-25,0.9583215961561115,0.0
0.00033002323,8.242417927263645,0.5544946766121741,0.3622076265624767,0.0,2008-01-26,0.6953546405628133,0.00033002323
-1.6653345e-13,8.373967393553873,0.0,0.2158426106164462,0.0,2008-01-27,0.40785831238758913,0.0
-1.6653345e-13,8.505516859844098,0.0,0.0,0.0,2008-01-28,0.0,0.0
-1.6653345e-13,8.637066326134326,0.0,0.0,0.0,2008-01-29,0.0,0.0
-1.6653345e-13,8.768615792424553,0.0,0.0,0.0,2008-01-30,0.0,0.0
-1.6653345e-13,8.900165258714779,0.0,0.0,0.0,2008-01-31,0.0,0.0
0.0031864746,9.031714725005006,0.0031864746,0.0,0.0,2008-02-01,0.0,0.0031864746
0.3276367,9.163264191295232,0.2820003373399745,0.017904519388575915,0.0,2008-02-02,0.030918317871449604,0.3276367
0.8926528,9.331733912659333,0.7122604727403761,0.1715316991848622,0.0,2008-02-03,0.29086096541473616,0.8926528
1.9739527,9.500203634023434,1.9464300786590487,0.2775297632960176,0.0,2008-02-04,0.46225333078530956,1.9739527
1.6653345e-13,9.668673355387533,0.7153564688547336,0.46692112266744795,0.0,2008-02-05,0.7641524871370338,1.6653345e-13
1.6653345e-13,9.837143076751634,0.0,0.2879966735337618,0.0,2008-02-06,0.4632568840896162,1.6653345e-13
1.6653345e-13,10.005612798115735,1.6653345e-13,0.0,0.0,2008-02-07,0.0,1.6653345e-13
1.6653345e-13,10.174082519479832,0.0,1.437153723661745e-07,0.0,2008-02-08,2.235174154288654e-07,1.6653345e-13
1.6653345e-13,10.342552240843933,1.6653345e-13,0.0,0.0,2008-02-09,0.0,1.6653345e-13
1.6653345e-13,10.511021962208032,0.0,1.4847485582660652e-07,0.0,2008-02-10,2.235174154288654e-07,1.6653345e-13
1.6653345e-13,10.42876368182794,1.6653345e-13,0.0,0.0,2008-02-11,0.0,1.6653345e-13
1.6653345e-13,10.346505401447851,0.0,1.4615095499871541e-07,0.0,2008-02-12,2.235174154288654e-07,1.6653345e-13
1.6653345e-13,10.264247121067761,1.6653345e-13,0.0,0.0,2008-02-13,0.0,1.6653345e-13
0.013812374,10.18198884068767,0.013812006655696934,1.4382705417082428e-07,0.0,2008-02-14,2.235174154288654e-07,0.013812374
0.069932036,10.09973056030758,0.0,0.04108614612833791,0.0,2008-02-15,0.06437081634334833,0.069932036
1.6653345e-13,10.017472279927489,1.6653345e-13,0.0,0.0,2008-02-16,0.0,1.6653345e-13
0.85779524,9.935213999547399,0.8577948761415481,1.4034120292898758e-07,0.0,2008-02-17,2.235174154288654e-07,0.85779524
