time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2]
2014-02-04,15.875,63.625,-1.4164846,0.35625988,3.7045666e-05,0.331932,3.108172246289474
2014-02-05,15.875,63.625,-0.43000793,0.6457982,3.7152517e-05,0.33239335,3.176963741511658
2014-02-06,15.875,63.625,-0.1194949,1.1459501,3.6771387e-05,0.33625937,3.2457552367338427
2014-02-07,15.875,63.625,-0.06763849,3.558027,3.6514837e-05,0.34192312,3.3145467319560273
2014-02-08,15.875,63.625,-1.006048,4.1112475,3.6506466e-05,0.3471498,3.3833382271782115
2014-02-09,15.875,63.625,-0.81532013,7.0325828,3.6506466e-05,0.3543786,3.4521297224003957
2014-02-10,15.875,63.625,-1.0988284,1.1720035,3.670786e-05,0.35362166,3.5209212176225804
2014-02-11,15.875,63.625,-1.8301685,0.09855749,3.6425707e-05,0.35333282,3.421033163451486
2014-02-12,15.875,63.625,-0.36317557,1.6165326,3.6340516e-05,0.35837737,3.321145109280392
2014-02-13,15.875,63.625,-0.40344608,3.0854332,3.5971687e-05,0.3603345,3.2212570551092976
2014-02-14,15.875,63.625,-1.4400284,0.49587464,3.5951995e-05,0.35724074,3.121369000938204
2014-02-15,15.875,63.625,-0.28209054,6.414813,3.564668e-05,0.36529294,3.0214809467671095
2014-02-16,15.875,63.625,-0.2965553,7.8163047,3.6052443e-05,0.3707692,2.9215928925960153
2014-02-17,15.875,63.625,-1.7586797,1.3478606,3.5156718e-05,0.36778307,2.821704838424921
2014-02-18,15.875,63.625,-1.7577677,2.7321408,3.5049372e-05,0.36768728,2.721816784253827
2014-02-19,15.875,63.625,-1.069564,1.8039631,3.4893765e-05,0.36639628,2.871766229401584
2014-02-20,15.875,63.625,-0.36744514,1.6081862,3.474062e-05,0.36393458,3.021715674549341
2014-02-21,15.875,63.625,-0.3941299,10.620166,3.4550543e-05,0.36857873,3.1716651196970984
2014-02-22,15.875,63.625,-1.4499699,0.0147377,3.4218654e-05,0.36231616,3.3216145648448556
